"","SITE_ID","HEIGHTC_DATE","HEIGHTC_STATISTIC","HEIGHTC","D","SENSOR_HEIGHT","ZM"
"26","CA-TPD","20120105","Mean",25.7,17.1333333333333,36.6,19.4666666666667
"27","US-AR1","201105","Mean",0.5,0.333333333333333,2.84,2.50666666666667
"28","US-AR2","201105","Mean",0.5,0.333333333333333,2.95,2.61666666666667
"29","US-ARb","20090309","Mean",0.1,0.0666666666666667,4,3.93333333333333
"30","US-ARc","20090309","Mean",0.4,0.266666666666667,4.05,3.78333333333333
"31","US-ARM","20160525","Mean",0.4,0.266666666666667,60,59.7333333333333
"32","US-Bar","20040505",NA,19,12.6666666666667,24.5,11.8333333333333
"33","US-Bi1","20201005","Mean",0.565,0.376666666666667,3.9,3.52333333333333
"34","US-Bi2","20200901","Mean",2.228,1.48533333333333,5.11,3.62466666666667
"35","US-Blo","1999","Mean",2.59,1.72666666666667,15,13.2733333333333
"36","US-Bo1",NA,NA,3,2,10,8
"37","US-Cop","2003","Expert estimate",0.5,0.333333333333333,3,2.66666666666667
"38","US-CRT","20130816","Mean",0.3,0.2,2,1.8
"39","US-Dk1",NA,NA,0.55,0.366666666666667,2.8,2.43333333333333
"40","US-Dk2","2006",NA,25,16.6666666666667,39.8,23.1333333333333
"41","US-Dk3","2006",NA,19,12.6666666666667,20.2,7.53333333333333
"42","US-Fmf","20050927",NA,18,12,23,11
"43","US-Fuf","20050927",NA,18,12,23,11
"44","US-Fwf","20050927",NA,0.3,0.2,2,1.8
"45","US-GBT","2011","Mean",14.9,9.93333333333333,30.2,20.2666666666667
"46","US-GLE","201909","Mean",8.6,5.73333333333333,30.2,24.4666666666667
"47","US-Ha1","20180710","Mean",25.4,16.9333333333333,29,12.0666666666667
"48","US-Ha2",NA,NA,21,14,35,21
"49","US-Ho1","1999",NA,20,13.3333333333333,30,16.6666666666667
"50","US-Ho2","1999",NA,20,13.3333333333333,28.3,14.9666666666667
"51","US-IB2","20171018","Mean",1.27,0.846666666666667,3.76,2.91333333333333
"52","US-KS1","20030215","Mean",13,8.66666666666667,18,9.33333333333333
"53","US-KS2","20030128","Mean",1.5,1,4.1,3.1
"54","US-Lin","200910010000","Single observation",3.7,2.46666666666667,9.18,6.71333333333333
"55","US-Los","20050404","Mean",2,1.33333333333333,10.2,8.86666666666667
"56","US-Me1","2004","Mean",7.2,4.8,10,5.2
"57","US-Me2","20140429","Mean",16.49,10.9933333333333,32,21.0066666666667
"58","US-Me3","20030630","Mean",3.11,2.07333333333333,12,9.92666666666667
"59","US-Me4","1999","Mean",16.5,11,47,36
"60","US-Me5","2001","Mean",4.3,2.86666666666667,12,9.13333333333333
"61","US-Me6","20140430","Mean",6.51,4.34,14.2,9.86
"62","US-MMS","201808091200","Mean",25,16.6666666666667,46,29.3333333333333
"63","US-MOz","20070407",NA,24.2,16.1333333333333,30,13.8666666666667
"64","US-Myb","20170727","Mean",2.285,1.52333333333333,5.7,4.17666666666667
"65","US-NC1",NA,NA,0.35,0.233333333333333,10.5,10.2666666666667
"66","US-NC2",NA,NA,14,9.33333333333333,27,17.6666666666667
"67","US-Ne1","20120726","Mean",2.529,1.686,6.2,4.514
"68","US-Ne2","20180806","Mean",1.288,0.858666666666667,6.2,5.34133333333333
"69","US-Ne3","20120920","Mean",0.825,0.55,6.2,5.65
"70","US-NR1","20100810","Mean",15.9,10.6,21.5,10.9
"71","US-Oho","20130701","Mean",24.5,16.3333333333333,34,17.6666666666667
"72","US-ORv","20120401","Mean",8,5.33333333333333,15,9.66666666666667
"73","US-PFa","20040701","Mean",24,16,396,380
